x,a,l,lp,t,n
2.08,1,0.9989,0.999,0.011,0.07788798
2.6,1,0.9989,0.999,0.011,0.09210479
3.12,1,0.9989,0.999,0.011,0.10604656
3.64,1,0.9989,0.999,0.011,0.11971862
4.16,1,0.9989,0.999,0.011,0.13312621
4.68,1,0.9989,0.999,0.011,0.14627447
5.2,1,0.9989,0.999,0.011,0.15916842
5.72,1,0.9989,0.999,0.011,0.171813
6.24,1,0.9989,0.999,0.011,0.18421305
6.76,1,0.9989,0.999,0.011,0.19637331
7.28,1,0.9989,0.999,0.011,0.20829844
7.8,1,0.9989,0.999,0.011,0.21999298
8.32,1,0.9989,0.999,0.011,0.23146142
8.84,1,0.9989,0.999,0.011,0.24270814
9.36,1,0.9989,0.999,0.011,0.25373743
9.88,1,0.9989,0.999,0.011,0.26455351
10.4,1,0.9989,0.999,0.011,0.27516049
10.92,1,0.9989,0.999,0.011,0.28556195
11.44,1,0.9989,0.999,0.011,0.29575604
11.96,1,0.9989,0.999,0.011,0.30569818
12.48,1,0.9989,0.999,0.011,0.31510482
13,1,0.9989,0.999,0.011,0.32273979
13.52,1,0.9989,0.999,0.011,0.3246885
14.04,1,0.9989,0.999,0.011,0.31198681
14.56,1,0.9989,0.999,0.011,0.27025715
15.08,1,0.9989,0.999,0.011,0.18445042
15.6,1,0.9989,0.999,0.011,0.06641528
16.12,1,0.9989,0.999,0.011,0
16.64,1,0.9989,0.999,0.011,0
17.16,1,0.9989,0.999,0.011,0
17.68,1,0.9989,0.999,0.011,0
18.2,1,0.9989,0.999,0.011,0
18.72,1,0.9989,0.999,0.011,0
19.24,1,0.9989,0.999,0.011,0
19.76,1,0.9989,0.999,0.011,0
20.28,1,0.9989,0.999,0.011,0
-5.2,1,0.9988,0.9989,0.012,0
-4.68,1,0.9988,0.9989,0.012,0
-4.16,1,0.9988,0.9989,0.012,0.00000003
-3.64,1,0.9988,0.9989,0.012,0.0000003
-3.12,1,0.9988,0.9989,0.012,0.00000258
-2.6,1,0.9988,0.9989,0.012,0.0000175
-2.08,1,0.9988,0.9989,0.012,0.00009694
-1.56,1,0.9988,0.9989,0.012,0.00045119
-1.04,1,0.9988,0.9989,0.012,0.0018137
-0.52,1,0.9988,0.9989,0.012,0.0064688
